Date : 2025-02-24 19:18:02
Directory : c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo
Total : 135 files,  6859 codes, 554 comments, 1315 blanks, all 8728 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        130 |      4,136 |        463 |      1,280 |      5,879 |
| JSON               |          2 |      2,657 |          0 |          2 |      2,659 |
| Markdown           |          1 |         42 |          0 |         21 |         63 |
| JSON with Comments |          1 |         12 |         91 |          9 |        112 |
| YAML               |          1 |         12 |          0 |          3 |         15 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                 |        135 |      6,859 |        554 |      1,315 |      8,728 |
| . (Files)                                                                                                                                                         |          5 |      2,723 |         91 |         35 |      2,849 |
| src                                                                                                                                                               |        130 |      4,136 |        463 |      1,280 |      5,879 |
| src (Files)                                                                                                                                                       |          1 |         16 |          3 |          4 |         23 |
| src\configs                                                                                                                                                       |          5 |         69 |         12 |         34 |        115 |
| src\data                                                                                                                                                          |          8 |        236 |          4 |         37 |        277 |
| src\data\mongodb                                                                                                                                                  |          8 |        236 |          4 |         37 |        277 |
| src\data\mongodb (Files)                                                                                                                                          |          1 |         20 |          0 |          9 |         29 |
| src\data\mongodb\models                                                                                                                                           |          7 |        216 |          4 |         28 |        248 |
| src\data\mongodb\models (Files)                                                                                                                                   |          1 |         34 |          3 |          7 |         44 |
| src\data\mongodb\models\customers                                                                                                                                 |          3 |         94 |          1 |          7 |        102 |
| src\data\mongodb\models\products                                                                                                                                  |          3 |         88 |          0 |         14 |        102 |
| src\domain                                                                                                                                                        |         75 |      1,773 |        206 |        510 |      2,489 |
| src\domain\datasources                                                                                                                                            |          7 |         88 |          3 |         25 |        116 |
| src\domain\datasources (Files)                                                                                                                                    |          1 |          7 |          2 |          4 |         13 |
| src\domain\datasources\customers                                                                                                                                  |          3 |         40 |          0 |          3 |         43 |
| src\domain\datasources\products                                                                                                                                   |          3 |         41 |          1 |         18 |         60 |
| src\domain\dtos                                                                                                                                                   |         15 |        435 |         71 |        135 |        641 |
