"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JSON", "JavaScript", "YAML", "Docker", "comment", "blank", "total"
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 7, 6, 5, 18
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\compass-connections.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 0, 0, 27
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 12, 0, 30, 12, 54
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\init-replica.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\package-lock.json", "JSON", 0, 0, 0, 3133, 0, 0, 0, 0, 1, 3134
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\package.json", "JSON", 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\readme.md", "Markdown", 0, 0, 52, 0, 0, 0, 0, 0, 26, 78
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\app.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 3, 4, 23
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\configs\bcrypt.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\configs\envs.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 8, 19
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\configs\jwt-personal.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 7, 8, 41
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\configs\jwt.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 4, 12, 37
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\configs\validator.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 1, 4, 10
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\customers\city.model.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\customers\customer.model.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 2, 43
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\customers\neighborhood.model.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 1, 3, 33
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\payment\payment.model.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 6, 3, 74
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\products\category.model.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\products\product.model.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\products\unit.model.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\sales\sale.model.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 0, 3, 85
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\data\mongodb\models\user.model.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 3, 7, 44
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\data\mongodb\mongo-database.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 9, 29
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\datasources\auth.datasource.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\datasources\customers\city.datasource.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\datasources\customers\customer.datasource.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\majin\Desktop\Angular Practica\Clean-Architecture-Node-Express-Mongo\src\domain\datasources\customers\neighborhood.datasource.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
