"filename", "language", "JSON with Comments", "JSON", "TypeScript", "HTML", "Markdown", "JavaScript", "YAML", "Docker", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 6, 5, 18
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\compass-connections.json", "JSON", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\clover.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4195, 0, 1, 4196
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\coverage-final.json", "JSON", 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 159
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\base.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 203, 0, 9, 13, 225
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\block-navigation.js", "JavaScript", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 7, 15, 88
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\configs\bcrypt.ts.html", "HTML", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 15, 130
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\configs\envs.ts.html", "HTML", 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 15, 175
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\configs\index.html", "HTML", 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 17, 161
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\configs\jwt.ts.html", "HTML", 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 17, 193
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\configs\validator.ts.html", "HTML", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 18, 112
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\data\mongodb\models\chatbot\chat-models.ts.html", "HTML", 0, 0, 0, 326, 0, 0, 0, 0, 0, 0, 0, 14, 340
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\data\mongodb\models\chatbot\index.html", "HTML", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 14, 116
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\data\mongodb\models\customers\city.model.ts.html", "HTML", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 14, 160
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\data\mongodb\models\customers\customer.model.ts.html", "HTML", 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 14, 211
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\data\mongodb\models\customers\index.html", "HTML", 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 16, 146
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\data\mongodb\models\customers\neighborhood.model.ts.html", "HTML", 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 14, 181
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\data\mongodb\models\index.html", "HTML", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 14, 116
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\data\mongodb\models\payment\index.html", "HTML", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 14, 116
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\coverage\lcov-report\data\mongodb\models\payment\payment.model.ts.html", "HTML", 0, 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 14, 304
