"filename", "language", "TypeScript", "JavaScript", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\app.ts", "TypeScript", -16, 0, 0, 0, -3, -4, -23
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\configs\bcrypt.ts", "TypeScript", -11, 0, 0, 0, -3, -2, -16
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\configs\cloudinary.ts", "TypeScript", -8, 0, 0, 0, -1, -2, -11
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\configs\envs.ts", "TypeScript", -26, 0, 0, 0, -5, -18, -49
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\configs\file-storage.ts", "TypeScript", -3, 0, 0, 0, -5, -2, -10
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\configs\jwt-personal.ts", "TypeScript", -26, 0, 0, 0, -7, -8, -41
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\configs\jwt.ts", "TypeScript", -31, 0, 0, 0, -5, -7, -43
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\configs\logger.ts", "TypeScript", -118, 0, 0, 0, -22, -23, -163
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\configs\notification.config.ts", "TypeScript", -34, 0, 0, 0, -2, -6, -42
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\configs\notification.ts", "TypeScript", -1, 0, 0, 0, -1, -1, -3
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\configs\payment.ts", "TypeScript", -9, 0, 0, 0, -5, -2, -16
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\configs\validator.ts", "TypeScript", -5, 0, 0, 0, -1, -4, -10
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\cart\cart.model.ts", "TypeScript", -59, 0, 0, 0, -6, -5, -70
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\chatbot\chat-models.ts", "TypeScript", -74, 0, 0, 0, -7, -5, -86
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\coupon\coupon.model.ts", "TypeScript", -83, 0, 0, 0, -4, -5, -92
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\customers\address.model.ts", "TypeScript", -67, 0, 0, 0, -5, -4, -76
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\customers\city.model.ts", "TypeScript", -24, 0, 0, 0, 0, -2, -26
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\customers\customer.model.ts", "TypeScript", -49, 0, 0, 0, -9, -3, -61
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\customers\neighborhood.model.ts", "TypeScript", -29, 0, 0, 0, -1, -3, -33
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\order\order-status.model.ts", "TypeScript", -64, 0, 0, 0, -4, -5, -73
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\order\order.model.ts", "TypeScript", -35, 0, 0, 0, -3, -6, -44
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\payment\payment-method.model.ts", "TypeScript", -41, 0, 0, 0, -3, -5, -49
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\payment\payment.model.ts", "TypeScript", -65, 0, 0, 0, -6, -3, -74
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\products\category.model.ts", "TypeScript", -20, 0, 0, 0, 0, -6, -26
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\products\product.model.ts", "TypeScript", -73, 0, 0, 0, -8, -5, -86
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\products\tag.model.ts", "TypeScript", -27, 0, 0, 0, -1, -3, -31
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\products\unit.model.ts", "TypeScript", -21, 0, 0, 0, 0, -3, -24
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\sales\sale.model.ts", "TypeScript", -82, 0, 0, 0, -1, -4, -87
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\models\user.model.ts", "TypeScript", -33, 0, 0, 0, -3, -7, -43
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\data\mongodb\mongo-database.ts", "TypeScript", -25, 0, 0, 0, 0, -9, -34
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\domain\datasources\auth.datasource.ts", "TypeScript", -12, 0, 0, 0, -10, -4, -26
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\domain\datasources\cart\cart.datasource.ts", "TypeScript", -11, 0, 0, 0, -5, -8, -24
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\domain\datasources\chatbot\chat.datasource.ts", "TypeScript", -11, 0, 0, 0, -1, -1, -13
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\domain\datasources\coupon\coupon.datasource.ts", "TypeScript", -13, 0, 0, 0, -3, -3, -19
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\domain\datasources\customers\city.datasource.ts", "TypeScript", -13, 0, 0, 0, 0, -1, -14
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\domain\datasources\customers\customer.datasource.ts", "TypeScript", -23, 0, 0, 0, -4, -2, -29
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\domain\datasources\customers\neighborhood.datasource.ts", "TypeScript", -14, 0, 0, 0, 0, -1, -15
"c:\Users\Usuario\Desktop\Practica Angular\14-back\src\domain\datasources\mcp\mcp.datasource.ts", "TypeScript", -5, 0, 0, 0, -1, -2, -8
