"filename", "language", "TypeScript", "JavaScript", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\auth\register-user.dto.test.js", "JavaScript", 0, 65, 0, 0, 25, 1, 91
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\auth\register-user.dto.test.ts", "TypeScript", 63, 0, 0, 0, 25, 19, 107
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\customers\create-city.dto.test.js", "JavaScript", 0, 63, 0, 0, 25, 1, 89
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\customers\create-city.dto.test.ts", "TypeScript", 61, 0, 0, 0, 25, 19, 105
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\customers\create-customer.dto.test.js", "JavaScript", 0, 170, 0, 0, 54, 1, 225
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\customers\create-customer.dto.test.ts", "TypeScript", 165, 0, 0, 0, 54, 41, 260
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\customers\create-neighborhood.dto.test.js", "JavaScript", 0, 94, 0, 0, 34, 1, 129
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\customers\create-neighborhood.dto.test.ts", "TypeScript", 89, 0, 0, 0, 34, 26, 149
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\customers\update-city.dto.test.js", "JavaScript", 0, 61, 0, 0, 26, 1, 88
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\customers\update-city.dto.test.ts", "TypeScript", 59, 0, 0, 0, 26, 20, 105
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\customers\update-customer.dto.test.js", "JavaScript", 0, 75, 0, 0, 25, 1, 101
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\customers\update-customer.dto.test.ts", "TypeScript", 70, 0, 0, 0, 25, 20, 115
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\customers\update-neighborhood.dto.test.js", "JavaScript", 0, 78, 0, 0, 31, 1, 110
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\customers\update-neighborhood.dto.test.ts", "TypeScript", 73, 0, 0, 0, 31, 24, 128
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\payment\create-payment.dto.test.js", "JavaScript", 0, 194, 0, 0, 28, 1, 223
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\payment\create-payment.dto.test.ts", "TypeScript", 196, 0, 0, 0, 28, 67, 291
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\payment\process-webhook.dto.test.js", "JavaScript", 0, 88, 0, 0, 28, 1, 117
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\payment\process-webhook.dto.test.ts", "TypeScript", 95, 0, 0, 0, 28, 28, 151
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\payment\update-payment-status.dto.test.js", "JavaScript", 0, 94, 0, 0, 31, 1, 126
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\payment\update-payment-status.dto.test.ts", "TypeScript", 98, 0, 0, 0, 31, 28, 157
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\payment\verify-payment.dto.test.js", "JavaScript", 0, 88, 0, 0, 30, 1, 119
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\payment\verify-payment.dto.test.ts", "TypeScript", 89, 0, 0, 0, 30, 28, 147
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\products\create-category.dto.test.js", "JavaScript", 0, 77, 0, 0, 31, 1, 109
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\products\create-category.dto.test.ts", "TypeScript", 75, 0, 0, 0, 31, 21, 127
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\products\create-product.dto.test.js", "JavaScript", 0, 172, 0, 0, 44, 1, 217
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\products\create-product.dto.test.ts", "TypeScript", 183, 0, 0, 0, 48, 37, 268
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\products\create-unit.dto.test.js", "JavaScript", 0, 98, 0, 0, 38, 1, 137
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\products\create-unit.dto.test.ts", "TypeScript", 96, 0, 0, 0, 38, 29, 163
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\products\update-category.dto.test.js", "JavaScript", 0, 83, 0, 0, 36, 1, 120
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\products\update-category.dto.test.ts", "TypeScript", 81, 0, 0, 0, 36, 28, 145
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\products\update-product.dto.test.js", "JavaScript", 0, 106, 0, 0, 36, 1, 143
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\products\update-product.dto.test.ts", "TypeScript", 101, 0, 0, 0, 36, 28, 165
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\products\update-unit.dto.test.js", "JavaScript", 0, 85, 0, 0, 31, 1, 117
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\products\update-unit.dto.test.ts", "TypeScript", 83, 0, 0, 0, 31, 23, 137
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\sales\create-sale.dto.test.js", "JavaScript", 0, 162, 0, 0, 55, 1, 218
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\sales\create-sale.dto.test.ts", "TypeScript", 184, 0, 0, 0, 55, 41, 280
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\sales\update-sale-status.dto.test.js", "JavaScript", 0, 82, 0, 0, 37, 1, 120
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\sales\update-sale-status.dto.test.ts", "TypeScript", 79, 0, 0, 0, 37, 25, 141
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\shared\pagination.dto.test.js", "JavaScript", 0, 52, 0, 0, 23, 1, 76
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\dtos\shared\pagination.dto.test.ts", "TypeScript", 49, 0, 0, 0, 23, 16, 88
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\entities\customers\city.entity.test.js", "JavaScript", 0, 60, 0, 0, 29, 1, 90
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\entities\customers\city.entity.test.ts", "TypeScript", 58, 0, 0, 0, 29, 19, 106
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\entities\customers\customer.entity.test.js", "JavaScript", 0, 70, 0, 0, 21, 1, 92
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\entities\customers\customer.entity.test.ts", "TypeScript", 118, 0, 0, 0, 21, 17, 156
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\entities\customers\neighborhood.entity.test.js", "JavaScript", 0, 68, 0, 0, 25, 1, 94
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\entities\customers\neighborhood.entity.test.ts", "TypeScript", 118, 0, 0, 0, 25, 20, 163
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\entities\payment\payment.entity.test.js", "JavaScript", 0, 121, 0, 0, 27, 1, 149
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\entities\payment\payment.entity.test.ts", "TypeScript", 338, 0, 0, 0, 43, 33, 414
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\auth\register-user.use-case.test.js", "JavaScript", 0, 82, 0, 0, 22, 1, 105
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\auth\register-user.use-case.test.ts", "TypeScript", 117, 0, 0, 0, 17, 27, 161
"c:\Users\Usuario\Desktop\Practica Angular\14-back\tests\domain\use-cases\customers\create-city.use-case.test.js", "JavaScript", 0, 102, 0, 0, 32, 1, 135
